serialId|bookNum|shortName|name|bookCategory|authorId|publisher|lanId|edition|volume|pages|price|remarks|status
BK10|104|LUL P4|LET US LEARN PRIMER TERM I|{ "$ref" : "bookCategory", "$id" : 43}|47|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|108||1
BK17|LULP1|LULP1|LET US LEARN PRIMER TERM I|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK11|105|LUL P5|LET US LEARN PRIMER TERM II|{ "$ref" : "bookCategory", "$id" : 43}|44|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|108||1
BK18|LULP2|LULP2|LET US LEARN PRIMER TERM II|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK12|106|LUL P6|LET US LEARN PRIMER TERM III|{ "$ref" : "bookCategory", "$id" : 43}|47|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|108||1
BK19|LULP3|LULP3|LET US LEARN PRIMER TERM III|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 48}|46|1|1|0|0||1
BK518|LN20|LN20|LETS LEARN NUMBER 1 - 20|{ "$ref" : "bookCategory", "$id" : 51}|44|{ "$ref" : "publisher", "$id" : 45}|46|1|1|0|0||1
BK497|LBM|LBM|LITTLE BUDS PRE SCHOOL ALL IN ONE MALAYALAM|{ "$ref" : "bookCategory", "$id" : 51}|44|{ "$ref" : "publisher", "$id" : 45}|46|1|1|0|0||1
BK535|MCB3|MCB33|MAGIC COLOUR BOOK III|{ "$ref" : "bookCategory", "$id" : 52}|44|{ "$ref" : "publisher", "$id" : 45}|46|1|1|0|0||1
BK534|MCB5|MCB5|MAGIC COLOUR BOOK V|{ "$ref" : "bookCategory", "$id" : 52}|44|{ "$ref" : "publisher", "$id" : 45}|46|1|1|0|0||1
BK187|MP1|MP1|MALAYALA PADAVALI I|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 57}|46|1|1|0|0||1
BK188|MP2|MP2|MALAYALA PADAVALI II|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 57}|46|1|1|0|0||1
BK189|MP3|MP3|MALAYALA PADAVALI III|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 57}|46|1|1|0|0||1
BK190|MP4|MP4|MALAYALA PADAVALI IV|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 57}|46|1|1|0|0||1
BK152|MPU|MPU|MALAYALA PADAVALI UKG|{ "$ref" : "bookCategory", "$id" : 51}|50|{ "$ref" : "publisher", "$id" : 57}|46|1|1|0|0||1
BK191|MPWB1|MPWB1|MALAYALA PADAVALI WORK BOOK I|{ "$ref" : "bookCategory", "$id" : 49}|50|{ "$ref" : "publisher", "$id" : 57}|46|1|1|0|0||1
